number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_conv_type,params_dense_units,params_dropout,params_head_pooling,params_kernel_first,params_kernel_other,params_l2_reg,params_label_smoothing,params_learning_rate,params_n_blocks,params_pos_multiplier,params_spatial_dropout,params_use_batch_norm,user_attrs_epochs_ran,user_attrs_fp_per_hour,user_attrs_params,user_attrs_val_auc_pr,user_attrs_val_f1,state
36,0.9324863182749206,2026-06-10 14:05:30.879510,2026-06-10 14:11:52.972674,0 days 00:06:22.093164,24,256,conv,16,0.0992583606884738,avgmax,21,7,3.458922223313008e-06,0.027407000105112093,0.0006944342466480789,2,0.7174472465188223,0.16273981977087354,False,75.0,7.827300209286102,10209,0.8599175752771897,0.7880784313725491,COMPLETE
37,0.9087412657230378,2026-06-10 14:11:52.995229,2026-06-10 14:18:35.625371,0 days 00:06:42.630142,32,128,conv,32,0.12394281387786005,avgmax,7,7,6.904130313099968e-06,0.047418539721092,0.0006740890864464907,2,0.8879582442868285,0.1567044494727064,True,80.0,8.148205565460042,19105,0.8389225308684638,0.77161371898214,COMPLETE
38,0.9322268638285616,2026-06-10 14:18:35.640242,2026-06-10 14:32:41.642780,0 days 00:14:06.002538,24,128,conv,16,0.07840632271409512,avgmax,21,3,2.3974132884673562e-05,0.024236699999802255,0.0007454315576084152,3,0.9063733707916206,0.18128721055586894,False,63.0,7.213394310518565,16809,0.859075974806033,0.7964071856287425,COMPLETE
39,,2026-06-10 14:32:41.656431,2026-06-10 14:32:42.847528,0 days 00:00:01.191097,24,128,conv,16,0.08772556758110778,avgmax,21,3,3.052663301710822e-05,0.023898134194106944,0.0006043101135789182,4,0.8755628275437911,0.1717772051774154,False,,,38409,,,PRUNED
40,,2026-06-10 14:32:42.860446,2026-06-10 14:32:43.993436,0 days 00:00:01.132990,24,256,conv,16,0.1658290304643507,avgmax,21,7,2.5100881662531203e-07,0.016490191735053804,0.001334714448169466,3,0.892935406750111,0.22757299778388917,False,,,35241,,,PRUNED
41,0.678673505783081,2026-06-10 14:32:44.009047,2026-06-10 14:35:44.441887,0 days 00:03:00.432840,24,256,separable,16,0.09296532037367868,avgmax,21,7,2.204747510762093e-05,0.0243625372426689,0.0005156035494889253,2,1.0382499606923878,0.19001342896333795,False,,,3006,,,PRUNED
42,0.8320128917694092,2026-06-10 14:35:44.452267,2026-06-10 14:41:08.468086,0 days 00:05:24.015819,24,256,conv,16,0.11351656695312162,avgmax,15,3,9.557174610835405e-07,0.02110918905799043,0.0005237533399650001,2,1.1913880542068247,0.08429889612463765,False,,,5457,,,PRUNED
43,0.7240005731582642,2026-06-10 14:41:08.482426,2026-06-10 14:41:52.723843,0 days 00:00:44.241417,8,128,conv,16,0.04035276912255917,max,11,7,3.050146902148515e-07,0.04437461051900587,0.0008985961913823457,2,0.9522750635363797,0.08877252442198164,True,,,1369,,,PRUNED
44,0.7305563688278198,2026-06-10 14:41:52.737771,2026-06-10 14:42:34.455492,0 days 00:00:41.717721,12,128,conv,16,0.13112383268739414,avgmax,11,5,1.4989764576920145e-06,0.04334181596097558,0.0008096454130558327,2,1.0499025610815487,0.1266955542959634,True,,,2517,,,PRUNED
45,0.8152952790260315,2026-06-10 14:42:34.466859,2026-06-10 14:46:21.332077,0 days 00:03:46.865218,32,512,conv,0,0.03980633053370696,avgmax,15,7,2.1804680102534356e-07,0.03379851814592329,0.000300312169200748,2,0.8007786214811745,0.15596806019544823,True,,,15329,,,PRUNED
46,0.8118007183074951,2026-06-10 14:46:21.349416,2026-06-10 14:48:51.096931,0 days 00:02:29.747515,16,512,conv,16,0.091294007589006,avgmax,21,3,9.27608065171237e-06,0.03146394656145617,0.001921134262396615,2,0.8491198020799241,0.15036986680043202,False,,,2977,,,PRUNED
47,0.9269303708874225,2026-06-10 14:48:51.112219,2026-06-10 14:58:03.372139,0 days 00:09:12.259920,24,256,conv,16,0.19730552304770083,avg,21,3,1.615184408084977e-07,0.04593911608356982,0.0005061702662656044,3,1.0744198731175503,0.1194018253028523,False,80.0,7.338965971630107,15657,0.8542983800611813,0.7909033480732786,COMPLETE
48,0.9120191352731853,2026-06-10 14:58:03.385900,2026-06-10 15:09:28.283829,0 days 00:11:24.897929,24,128,conv,0,0.06873826550630244,avgmax,21,5,1.2421287685239211e-06,0.03314226186055622,0.001223630423534371,2,0.7277904845397887,0.16912317689391304,False,64.0,5.594915122858693,6433,0.8392319872470577,0.7716039144136673,COMPLETE
49,,2026-06-10 15:09:28.298390,2026-06-10 15:09:29.602232,0 days 00:00:01.303842,24,256,conv,0,0.26824494527210385,avg,21,7,1.673942959191393e-07,0.04885420290395257,0.0002552887924169585,3,0.9768913806658216,0.06797702874371299,False,,,32977,,,PRUNED
50,0.8091262578964233,2026-06-10 15:09:29.613060,2026-06-10 15:14:01.394117,0 days 00:04:31.781057,16,256,conv,16,0.3071213515029015,avg,15,3,1.3158180065643776e-07,0.04678567764997473,0.0013938302101993397,3,0.7849233328630787,0.10407747680299483,False,,,7281,,,PRUNED
51,0.8366407155990601,2026-06-10 15:14:01.409391,2026-06-10 15:20:52.602037,0 days 00:06:51.192646,32,128,conv,32,0.05034661871247643,avgmax,11,3,4.1518771839552916e-07,0.02396581778224196,0.0003321197615117964,2,0.7706247528780612,0.034604119220774984,False,,,10753,,,PRUNED
52,0.9261745242363704,2026-06-10 15:20:52.614716,2026-06-10 15:24:14.748508,0 days 00:03:22.133792,24,512,conv,16,0.17018925328610254,avg,21,3,4.039711590737367e-07,0.04979152937371119,0.0007024265544284871,2,1.4118183749392785,0.0705137075588865,True,80.0,6.794822106813426,5049,0.8519934943562457,0.7921581128466688,COMPLETE
53,0.9427441761120408,2026-06-10 15:24:14.764765,2026-06-10 15:27:37.411309,0 days 00:03:22.646544,24,256,conv,16,0.006111520736716072,avgmax,21,7,1.8656854242170533e-06,0.03228183409900478,0.0009977809394102024,2,0.823476295712817,0.11960157509444524,True,50.0,7.436632819161306,10425,0.8681962301100509,0.8054820121476406,COMPLETE
54,0.9405164244965191,2026-06-10 15:27:37.434098,2026-06-10 15:31:32.848803,0 days 00:03:55.414705,24,256,conv,16,0.12424351886194478,avgmax,21,7,2.1952862591561054e-06,0.018975893572314467,0.0008868071186700012,2,1.0180928471256703,0.08072049236002435,True,62.0,7.631966514223704,10425,0.8662367732306143,0.8041012894205375,COMPLETE
55,0.7546324133872986,2026-06-10 15:31:32.862307,2026-06-10 15:32:29.753748,0 days 00:00:56.891441,24,256,conv,64,0.26325783307914297,avgmax,7,7,9.904094761185725e-07,0.014669702825848317,0.000833247577353155,2,1.2187696538162678,0.04821650866943113,True,,,14793,,,PRUNED
56,,2026-06-10 15:32:29.768660,2026-06-10 15:32:31.295016,0 days 00:00:01.526356,24,256,conv,16,0.14764094704863961,avgmax,21,7,5.302512171654594e-06,0.030003646760713085,0.0009190470715987408,3,1.2503906131003946,0.04692405979989345,True,,,35673,,,PRUNED
57,0.9524292188370796,2026-06-10 15:32:31.306417,2026-06-10 15:35:58.166593,0 days 00:03:26.860176,24,256,conv,64,0.016170956267844025,avgmax,21,7,7.700614906956185e-07,0.03463853348855276,0.001982689423584563,2,0.7915487199136244,0.15479931778324676,True,53.0,7.26920393767925,15129,0.8769827207098934,0.818055340856392,COMPLETE
58,0.9062545100480869,2026-06-10 15:35:58.187868,2026-06-10 15:37:53.968309,0 days 00:01:55.780441,12,256,conv,64,0.031547841714642755,max,21,7,1.794741905638291e-06,0.038092526145082614,0.003986722983944476,2,0.9302843827491877,0.14011086553077937,True,49.0,6.990155801875824,4077,0.8351581979928521,0.7616411592315206,COMPLETE
59,,2026-06-10 15:37:53.983365,2026-06-10 15:37:55.568351,0 days 00:00:01.584986,24,512,conv,64,0.09166627006427716,avgmax,21,7,5.023038906854678e-06,0.03027473406608108,0.0030114253176799274,3,1.0924500576822707,0.2530818714655074,True,,,42681,,,PRUNED
60,,2026-06-10 15:37:55.579773,2026-06-10 15:37:57.120177,0 days 00:00:01.540404,32,256,conv,16,0.06459430220973869,avg,21,7,2.490263276880824e-07,0.00439606214279375,0.0006842817852919968,3,1.0741503086898223,0.13183714570171903,True,,,60353,,,PRUNED
